SIDO_NM,CCG_NM,STRD_YYMM,TP_BUZ_NO,TP_BUZ_NM_CLEAN,amt,cnt,supply_count,external_source,source_scope,amt_per_supply_proxy,cnt_per_supply_proxy
강원특별자치도,영월군,202604,8005,중국음식,37000000,1315,30.0,LOCALDATA,식품인허가 영업점,1233333.3333333333,43.833333333333336
강원특별자치도,영월군,202604,8301,제과점,25160000,1567,8.0,LOCALDATA,식품인허가 영업점,3145000.0,195.875
강원특별자치도,영월군,202605,4010,편의점,232210000,24195,41.0,국세청,가동사업자,5663658.536585365,590.1219512195122
강원특별자치도,영월군,202605,4020,슈퍼마켓,91420000,4857,24.0,국세청,가동사업자,3809166.6666666665,202.375
강원특별자치도,영월군,202605,8005,중국음식,44840000,1432,30.0,LOCALDATA,식품인허가 영업점,1494666.6666666667,47.733333333333334
강원특별자치도,영월군,202605,8301,제과점,33090000,1832,9.0,LOCALDATA,식품인허가 영업점,3676666.6666666665,203.55555555555554
강원특별자치도,영월군,202606,4010,편의점,227600000,23023,41.0,국세청,가동사업자,5551219.5121951215,561.5365853658536
강원특별자치도,영월군,202606,4020,슈퍼마켓,83230000,4487,24.0,국세청,가동사업자,3467916.6666666665,186.95833333333334
강원특별자치도,영월군,202606,8005,중국음식,39300000,1329,30.0,LOCALDATA,식품인허가 영업점,1310000.0,44.3
강원특별자치도,영월군,202606,8301,제과점,24620000,1412,9.0,LOCALDATA,식품인허가 영업점,2735555.5555555555,156.88888888888889
강원특별자치도,원주시,202601,4010,편의점,2634480000,295259,471.0,국세청,가동사업자,5593375.796178344,626.8768577494692
강원특별자치도,원주시,202601,4020,슈퍼마켓,3428900000,119178,180.0,국세청,가동사업자,19049444.444444444,662.1
강원특별자치도,원주시,202601,8005,중국음식,493090000,16177,189.0,LOCALDATA,식품인허가 영업점,2608941.798941799,85.5925925925926
강원특별자치도,원주시,202601,8301,제과점,421980000,32325,135.0,LOCALDATA,식품인허가 영업점,3125777.777777778,239.44444444444446
강원특별자치도,원주시,202602,4010,편의점,2510080000,280196,475.0,국세청,가동사업자,5284378.947368421,589.8863157894737
강원특별자치도,원주시,202602,4020,슈퍼마켓,3451760000,112674,178.0,국세청,가동사업자,19391910.11235955,633.0
강원특별자치도,원주시,202602,8005,중국음식,481630000,15145,189.0,LOCALDATA,식품인허가 영업점,2548306.8783068783,80.13227513227513
강원특별자치도,원주시,202602,8301,제과점,435610000,31709,138.0,LOCALDATA,식품인허가 영업점,3156594.202898551,229.7753623188406
강원특별자치도,원주시,202603,4010,편의점,2902360000,346738,469.0,국세청,가동사업자,6188400.852878464,739.3134328358209
강원특별자치도,원주시,202603,4020,슈퍼마켓,3306480000,123734,179.0,국세청,가동사업자,18471955.30726257,691.2513966480446
강원특별자치도,원주시,202603,8005,중국음식,503740000,17501,190.0,LOCALDATA,식품인허가 영업점,2651263.1578947366,92.11052631578947
강원특별자치도,원주시,202603,8301,제과점,491540000,38599,137.0,LOCALDATA,식품인허가 영업점,3587883.2116788323,281.7445255474453
강원특별자치도,원주시,202604,4010,편의점,2963490000,364997,469.0,국세청,가동사업자,6318742.004264392,778.2452025586354
강원특별자치도,원주시,202604,4020,슈퍼마켓,3191590000,121316,179.0,국세청,가동사업자,17830111.731843576,677.7430167597765
강원특별자치도,원주시,202604,8005,중국음식,467050000,16771,193.0,LOCALDATA,식품인허가 영업점,2419948.1865284974,86.89637305699482
강원특별자치도,원주시,202604,8301,제과점,473600000,39396,139.0,LOCALDATA,식품인허가 영업점,3407194.2446043165,283.42446043165467
강원특별자치도,원주시,202605,4010,편의점,3187840000,380081,465.0,국세청,가동사업자,6855569.892473118,817.3784946236559
강원특별자치도,원주시,202605,4020,슈퍼마켓,3384430000,123074,178.0,국세청,가동사업자,19013651.68539326,691.4269662921348
