SIDO_NM,CCG_NM,STRD_YYMM,amt,cnt,population_total,amt_per_registered_resident,cnt_per_registered_resident
경기도,성남시 분당구,202601,25282000000,1339221,469871.0,53806.257462154506,2.8501886688048423
경기도,성남시 분당구,202602,22562360000,1186300,469435.0,48062.79889654585,2.5270804264701185
경기도,성남시 분당구,202603,25277200000,1430561,469015.0,53894.225131392384,3.0501391213500635
경기도,성남시 분당구,202604,25031650000,1461558,468627.0,53414.8693950626,3.118808775422671
경기도,성남시 분당구,202605,26179350000,1433480,468368.0,55894.830560584836,3.0605848392716837
경기도,성남시 분당구,202606,23818090000,1407313,467641.0,50932.42465908678,3.009387543008419
경기도,성남시 수정구,202601,11272530000,660044,233273.0,48323.33789165484,2.829491625691786
경기도,성남시 수정구,202602,10378110000,597649,234087.0,44334.414128080585,2.5531063237172504
경기도,성남시 수정구,202603,11750070000,735830,234336.0,50141.97562474396,3.140063839956302
경기도,성남시 수정구,202604,11396390000,740585,234182.0,48664.671067801966,3.162433491899463
경기도,성남시 수정구,202605,12208310000,734002,234328.0,52099.23696698645,3.1323700112662594
경기도,성남시 수정구,202606,11091360000,711527,234639.0,47269.89119455845,3.0324328010262573
경기도,성남시 중원구,202601,8285470000,513379,203016.0,40811.906450723094,2.5287612798991215
경기도,성남시 중원구,202602,7491400000,463700,202679.0,36961.89541097006,2.2878541930836445
경기도,성남시 중원구,202603,8414000000,554486,202142.0,41624.20476694601,2.743051914001049
경기도,성남시 중원구,202604,8216870000,557224,201767.0,40724.54861300411,2.7617202020151956
경기도,성남시 중원구,202605,8443770000,549688,201051.0,41998.14972320456,2.7340724492790387
경기도,성남시 중원구,202606,7790980000,536995,200064.0,38942.43841970569,2.6841160828534867
경기도,수원시 권선구,202601,16062340000,829083,360806.0,44517.940389017924,2.297863671890157
경기도,수원시 권선구,202602,14902540000,760068,360535.0,41334.51675981528,2.108167029553303
경기도,수원시 권선구,202603,16390580000,881789,360383.0,45481.00215603955,2.446810754114373
경기도,수원시 권선구,202604,16059640000,891762,360365.0,44564.92722656196,2.4746076894259987
경기도,수원시 권선구,202605,17416180000,926934,360343.0,48332.22790507933,2.572365773721149
경기도,수원시 권선구,202606,15721000000,886115,360286.0,43634.77903665421,2.459476638004252
경기도,수원시 영통구,202601,13386830000,811479,362278.0,36951.8160087005,2.2399345254197054
경기도,수원시 영통구,202602,11924330000,721065,362132.0,32928.13117868623,1.9911662045883822
경기도,수원시 영통구,202603,13873920000,930309,362105.0,38314.6324960992,2.5691691636403804
경기도,수원시 영통구,202604,13499070000,948670,362149.0,37274.90618502329,2.619557143606637
경기도,수원시 영통구,202605,14152520000,933255,362168.0,39077.223829824834,2.5768565969384376
경기도,수원시 영통구,202606,12887510000,905205,362099.0,35591.122869712424,2.499882628783841
경기도,수원시 장안구,202601,14602870000,716206,270954.0,53894.27725739424,2.6432752422920496
경기도,수원시 장안구,202602,14022360000,664533,270944.0,51753.720325971415,2.452658113853785
경기도,수원시 장안구,202603,14724530000,775412,270705.0,54393.26942612807,2.8644169852791785
경기도,수원시 장안구,202604,14199280000,789161,270439.0,52504.55740481218,2.9180739464352405
경기도,수원시 장안구,202605,15361450000,811562,270245.0,56842.67979056042,3.003060186127403
경기도,수원시 장안구,202606,13398210000,767362,269984.0,49625.940796491646,2.8422499111058435
경기도,수원시 팔달구,202601,15618460000,833367,191972.0,81358.01054320422,4.341086200070843
경기도,수원시 팔달구,202602,14795630000,784805,192473.0,76871.197518613,4.077480997334691
경기도,수원시 팔달구,202603,15992830000,894884,192974.0,82875.56872946615,4.637329381160156
경기도,수원시 팔달구,202604,15828500000,909254,193197.0,81929.32602473123,4.706356723965693
경기도,수원시 팔달구,202605,17236900000,960833,193364.0,89142.23950683685,4.969037669886846
경기도,수원시 팔달구,202606,15362850000,886727,193401.0,79435.21491615866,4.584914245531305
경기도,시흥시,202601,33199290000,1687896,514778.0,64492.44140192471,3.278881381877236
경기도,시흥시,202602,31772550000,1555589,514384.0,61768.15375283835,3.0241784347880185
경기도,시흥시,202603,33638620000,1784390,514501.0,65381.05854021664,3.4681953970934947
경기도,시흥시,202604,32898930000,1803877,514822.0,63903.50451223918,3.5038848378662917
경기도,시흥시,202605,37069390000,1925194,514804.0,72006.80258894648,3.739664027474534
경기도,시흥시,202606,32450060000,1829030,514831.0,63030.509040830875,3.5526803941487595
경기도,안산시 단원구,202601,27050410000,1399236,289531.0,93428.37209141681,4.83276747567618
