SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,mapping_confidence,nominal_amt_growth_pct_m,real_amt_growth_pct_m,nominal_real_type
경기도,광명시,8021,스넥,MEDIUM,3.1223885151968274,2.8516940553664263,명목+/실질+
경기도,광명시,8301,제과점,HIGH,-1.4588286273671331,-1.3637824412818205,명목-/실질-
경기도,광주시,4004,대형할인점,MEDIUM,-2.2187053806672417,-1.880527372645516,명목-/실질-
경기도,광주시,4010,편의점,MEDIUM,3.1124008944179655,3.469016609852691,명목+/실질+
경기도,광주시,4020,슈퍼마켓,MEDIUM,-1.3681426818340932,-1.0270229905352335,명목-/실질-
경기도,광주시,8001,일반한식,MEDIUM,3.735747317254394,3.46344280133452,명목+/실질+
경기도,광주시,8004,일식회집,MEDIUM,1.4760006705962638,1.2096279499604976,명목+/실질+
경기도,광주시,8005,중국음식,MEDIUM,-0.43822485615217777,-0.6995727683792891,명목-/실질-
경기도,광주시,8006,서양음식,MEDIUM,4.143755168888096,3.8703796395190593,명목+/실질+
경기도,광주시,8021,스넥,MEDIUM,3.2315547062472687,2.9605736870816126,명목+/실질+
경기도,광주시,8301,제과점,HIGH,-0.5607038007679448,-0.46479134388223775,명목-/실질-
경기도,구리시,4004,대형할인점,MEDIUM,-0.5542764778786765,-0.21034201865593738,명목-/실질-
경기도,구리시,4010,편의점,MEDIUM,3.0391789586232685,3.3955414349443944,명목+/실질+
경기도,구리시,4020,슈퍼마켓,MEDIUM,-2.116930299398961,-1.7784003008008364,명목-/실질-
경기도,구리시,8001,일반한식,MEDIUM,2.141125854510605,1.8730071919412628,명목+/실질+
경기도,구리시,8004,일식회집,MEDIUM,0.46921149427524106,0.20548157755588156,명목+/실질+
경기도,구리시,8005,중국음식,MEDIUM,0.11339630875695471,-0.14939959934574945,명목+/실질-
경기도,구리시,8006,서양음식,MEDIUM,2.852089285175647,2.582104356079811,명목+/실질+
경기도,구리시,8021,스넥,MEDIUM,5.204430621881849,4.928270838066013,명목+/실질+
경기도,구리시,8301,제과점,HIGH,0.436794543275009,0.5336691199722812,명목+/실질+
경기도,군포시,4004,대형할인점,MEDIUM,-2.2547985547508707,-1.9167453754884163,명목-/실질-
경기도,군포시,4010,편의점,MEDIUM,2.9041212186658103,3.2600165958587293,명목+/실질+
경기도,군포시,4020,슈퍼마켓,MEDIUM,-0.54345106082881,-0.19947916174600147,명목-/실질-
경기도,군포시,8001,일반한식,MEDIUM,1.5895494221505353,1.3228786380348212,명목+/실질+
경기도,군포시,8004,일식회집,MEDIUM,2.885358735766413,2.615286474946875,명목+/실질+
경기도,군포시,8005,중국음식,MEDIUM,-0.7642500030079229,-1.0247421049469876,명목-/실질-
경기도,군포시,8006,서양음식,MEDIUM,2.6766250154820166,2.407100677014445,명목+/실질+
경기도,군포시,8021,스넥,MEDIUM,4.19244245378084,3.918939121143578,명목+/실질+
