TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,all_amt_6m,all_cnt_6m,corp_amt_6m,corp_cnt_6m,corp_amt_share_pct,corp_cnt_share_pct,all_amt_growth_pct_m,noncorp_amt_growth_pct_m,corp_amt_growth_pct_m,corporate_growth_contribution_gap_pp_m
4004,대형할인점,서울특별시,금천구,19072180000,746854,935850000.0,45510.0,4.906885316728345,6.093560454921578,-4.764796760227373,-4.920932722788748,-1.6899552593299485,0.15613596256137452
4004,대형할인점,서울특별시,노원구,23416980000,694111,662320000.0,29431.0,2.828374965516476,4.24009992638065,-2.998407890571654,-3.09948358505036,0.5995932229239374,0.1010756944787059
4004,대형할인점,서울특별시,도봉구,5315140000,225006,143270000.0,9682.0,2.6955075501303822,4.30299636454139,-6.2187171203508536,-6.353794916775351,-0.7613860377844129,0.1350777964244978
4004,대형할인점,서울특별시,동대문구,5545110000,237884,277130000.0,14605.0,4.997736744627248,6.1395470061038155,-0.8980526594780944,-1.1697941595397923,4.288441905023734,0.27174150006169784
4004,대형할인점,서울특별시,동작구,3423890000,209670,106480000.0,9124.0,3.109912993700148,4.351600133543187,-4.494558701238313,-4.528982380838246,-3.389397865836156,0.03442367959993309
4004,대형할인점,서울특별시,마포구,8153010000,317982,332300000.0,17494.0,4.075795319765338,5.501569271216609,-10.40748609525322,-10.449512228041112,-9.341060581782298,0.0420261327878908
4004,대형할인점,서울특별시,서대문구,2743110000,192388,98730000.0,9487.0,3.599199448800814,4.931180738923426,-2.6343839041044617,-2.902622569723854,5.263708852228798,0.26823866561939225
4004,대형할인점,서울특별시,서초구,24047440000,729947,2256240000.0,63837.0,9.382454015895247,8.745429462687017,-2.3159652108612554,-2.4484884316680318,-0.9856448829059523,0.13252322080677637
4004,대형할인점,서울특별시,성동구,16420330000,413359,424900000.0,17530.0,2.587645924290194,4.24086568817904,-4.778879881131582,-4.777317274990587,-4.804071357889061,-0.0015626061409950154
4004,대형할인점,서울특별시,성북구,6586420000,280551,184890000.0,12235.0,2.8071395386264464,4.3610609122762,-4.709854258984882,-4.881106801296751,1.640030465593056,0.17125254231186826
4004,대형할인점,서울특별시,송파구,25131080000,865021,1446140000.0,65474.0,5.754388589746243,7.569064797270817,-2.5074838644430137,-2.5857835396250497,-1.234162691983596,0.07829967518203595
4004,대형할인점,서울특별시,양천구,8157640000,346252,218890000.0,16673.0,2.683251528628378,4.815279045319594,-4.179758129185693,-4.266046881427857,-0.7432405761970311,0.08628875224216426
4004,대형할인점,서울특별시,영등포구,16556600000,578082,744730000.0,32044.0,4.49808535568897,5.543158237066714,-2.454870399542318,-2.5413414372167384,-0.589560417498695,0.08647103767442044
