SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,amt_share_pct_202601,amt_share_pct_202606,cnt_share_pct_202601,cnt_share_pct_202606,amt_share_change_pp,cnt_share_change_pp
부산광역시,해운대구,8002,갈비전문점,0.28072826090586256,0.28046004586749834,0.05144588085345869,0.05145791694680732,-0.0002682150383642168,1.203609334862743e-05
부산광역시,해운대구,8004,일식회집,3.261657216916568,2.972890766238551,1.0207074636253786,0.9589988824969652,-0.288766450678017,-0.061708581128413376
부산광역시,해운대구,8005,중국음식,2.2863806721226747,2.1063777528353027,1.495307301408637,1.349379177728876,-0.180002919287372,-0.14592812367976116
부산광역시,해운대구,8006,서양음식,12.500718888455598,12.69456558680981,20.533991028421035,21.29732464725225,0.19384669835421242,0.763333618831215
부산광역시,해운대구,8021,스넥,4.718913686263349,5.223996755574214,5.988711039014782,5.87664326870785,0.5050830693108654,-0.11206777030693171
부산광역시,해운대구,8301,제과점,3.000631137684114,3.2215777162783925,4.605498816479896,4.768720470498608,0.22094657859427835,0.16322165401871214
서울특별시,강남구,4004,대형할인점,6.829714282683421,5.995013387604006,3.893432457635007,3.415073657517443,-0.8347008950794148,-0.4783588001175638
서울특별시,강남구,4010,편의점,10.216841373169576,12.157394714762182,24.730632608573274,27.55904625286199,1.9405533415926062,2.828413644288716
서울특별시,강남구,4020,슈퍼마켓,5.629084298360098,5.547294993501216,3.5660558348953884,3.4472913335317585,-0.0817893048588818,-0.11876450136362982
서울특별시,강남구,8001,일반한식,31.935802860388723,32.10162859625909,15.162161092596834,14.64175012420838,0.1658257358703672,-0.5204109683884539
서울특별시,강남구,8004,일식회집,5.781939366495137,5.50105822683007,2.0314517886574466,1.9566175712779996,-0.280881139665067,-0.07483421737944695
서울특별시,강남구,8005,중국음식,4.365784067602317,3.863782273720926,1.8478511084319755,1.664060287470586,-0.5020017938813912,-0.18379082096138943
서울특별시,강남구,8006,서양음식,29.924404533208598,29.21815733392028,41.75625142480036,40.48624440917949,-0.7062471992883168,-1.2700070156208696
서울특별시,강남구,8021,스넥,2.887273448136517,3.1215951885929045,3.6012264570029395,3.3546222116626256,0.23432174045638732,-0.2466042453403139
서울특별시,강남구,8301,제과점,2.429155769955609,2.494075284809327,3.4109372274067766,3.4752941522897216,0.06491951485371805,0.06435692488294498
서울특별시,강동구,4004,대형할인점,14.158893219123753,11.597186163578895,9.076230495836485,7.286390022036228,-2.561707055544858,-1.7898404738002576
서울특별시,강동구,4010,편의점,13.643895247887814,15.331877850600344,29.938073495820028,31.558364296138198,1.6879826027125304,1.6202908003181697
서울특별시,강동구,4020,슈퍼마켓,13.090724135608125,12.383190427594819,12.667257432869642,12.055343388839706,-0.7075337080133064,-0.6119140440299358
서울특별시,강동구,8001,일반한식,32.712606379562175,32.36892618828251,16.354695335285808,15.418266956255462,-0.34368019127966676,-0.936428379030346
서울특별시,강동구,8002,갈비전문점,0.012741787160978381,0.011714329458160502,0.007969280157445257,0.006591677298179946,-0.0010274577028178793,-0.0013776028592653112
서울특별시,강동구,8004,일식회집,4.275287356021722,4.016380446550239,1.5572146672868845,1.507908761173519,-0.25890690947148265,-0.049305906113365605
서울특별시,강동구,8005,중국음식,2.6639212641106154,2.5584640389155475,1.8745999118181824,1.6683618680646586,-0.10545722519506784,-0.20623804375352384
서울특별시,강동구,8006,서양음식,11.425988754850627,13.439822944720897,17.629606915256236,20.006908745320118,2.01383418987027,2.3773018300638817
서울특별시,강동구,8021,스넥,4.1799328340711215,4.563521360126275,5.097047641569498,4.999328316427211,0.3835885260551537,-0.09771932514228698
서울특별시,강동구,8301,제과점,3.8360090216030733,3.7289162501723094,5.797304824099796,5.492535968446726,-0.1070927714307639,-0.3047688556530703
서울특별시,강북구,4004,대형할인점,3.9935547356733263,3.8061729949835232,3.233444729059583,2.8439001754769615,-0.18738174068980307,-0.3895445535826214
서울특별시,강북구,4010,편의점,15.478619764396232,16.744852339273343,31.758808461551514,32.775922854140774,1.2662325748771117,1.01711439258926
서울특별시,강북구,4020,슈퍼마켓,20.649766623738067,19.470856159351847,20.698824407538723,19.663953618612293,-1.1789104643862203,-1.0348707889264297
서울특별시,강북구,8001,일반한식,38.771183728438615,38.314827641696226,17.42650426639977,16.749782653915695,-0.4563560867423888,-0.6767216124840765
서울특별시,강북구,8002,갈비전문점,0.028846654428174818,0.025012418753367058,0.013005592404734036,0.008400492828912628,-0.00383423567480776,-0.004605099575821408
서울특별시,강북구,8004,일식회집,3.2950901799331405,3.0823870593091676,1.0415783134573955,1.0096592333416894,-0.2127031206239729,-0.0319190801157061
서울특별시,강북구,8005,중국음식,2.684701799843477,2.3906974791679785,1.9193144356421086,1.5883598504445595,-0.2940043206754983,-0.33095458519754906
서울특별시,강북구,8006,서양음식,9.078929737913635,9.985202443171085,15.773663109919875,17.984121735141795,0.9062727052574502,2.2104586252219196
서울특별시,강북구,8021,스넥,3.3299109935624167,3.835558214218248,3.608345066639525,3.539941009872579,0.5056472206558311,-0.06840405676694594
서울특별시,강북구,8301,제과점,2.6893957820729137,2.344433250075212,4.52651161738678,3.8359583762247387,-0.34496253199770166,-0.6905532411620414
서울특별시,강서구,4004,대형할인점,15.854710737579031,13.664189970581686,7.675844021076599,6.371652846173695,-2.190520766997345,-1.304191174902904
