TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,foreign_amt_6m,foreign_cnt_6m,foreign_amt_growth_pct_m,foreign_cnt_growth_pct_m,foreign_amt_change_mar_jun_pct,foreign_cnt_change_mar_jun_pct,all_amt,all_cnt,foreign_amt_share_pct,foreign_cnt_share_pct,registered_foreigner_change_pct,store_lq
4004,대형할인점,경상북도,김천시,376870000,9146,-1.3868684250050456,-0.16822850937124992,-2.273892973157814,-2.309782608695656,4125780000,77283,9.134515170464736,11.834426717389334,11.720356408498972,
4004,대형할인점,경상북도,문경시,95010000,3358,-4.253350296593625,2.405125800833929,-31.527093596059103,-4.528985507246375,1136200000,36442,8.362084140116178,9.214642445529883,44.474153297682705,
4004,대형할인점,경상북도,상주시,41580000,809,-1.7840049930319821,-0.7155060364934666,27.766990291262132,15.384615384615373,1214610000,22903,3.423321066021192,3.532288346504825,61.345333964945524,
4004,대형할인점,경상북도,성주군,98290000,3996,2.0304859946310208,3.8960831684562205,-8.212839791787161,-5.150214592274679,597590000,22859,16.44773172241838,17.48107966227744,49.22698524244552,
4004,대형할인점,경상북도,안동시,218730000,5436,-5.568091350353587,-3.050208222913411,-29.263518473207725,-25.72533849129593,3959940000,92539,5.523568538917257,5.874280033283264,35.29411764705884,
4004,대형할인점,경상북도,영주시,60360000,1748,-18.81319101104276,-13.41267034622855,-49.5635305528613,-36.610169491525426,812600000,23398,7.428008860447945,7.470723993503718,38.57868020304568,
4004,대형할인점,경상북도,영천시,264410000,6068,-0.6408019768753441,3.157379214517765,-3.9390386869871037,2.0470829068577387,2810200000,66710,9.40893886556117,9.096087543096987,6.18390804597702,
4004,대형할인점,경상북도,예천군,11920000,740,-1.294671132979054,-0.6637392155458773,-6.25,-2.5423728813559308,200470000,13490,5.946026836933207,5.485544848035582,50.0891265597148,
4004,대형할인점,경상북도,청도군,67080000,1927,2.0262007409782896,3.299016805068177,2.6851851851851904,12.987012987012989,1404770000,40835,4.775158922812987,4.718991061589323,-2.1228203184230523,
4004,대형할인점,경상북도,칠곡군,32680000,1939,4.407418162711714,7.291254850975955,2.9772329246935243,15.047021943573654,141110000,9173,23.15923747431082,21.138122751553475,3.267211201866971,
4004,대형할인점,경상북도,포항시 남구,363330000,8866,-7.528457212927152,-5.017362149451943,-26.721415034744155,-22.122186495176848,7832060000,208774,4.6390094049330575,4.246697385689789,-4.824761037778785,
4004,대형할인점,경상북도,포항시 북구,351500000,10782,-3.484956048505113,-1.4017732021174798,-9.740369930425928,-8.364813815434431,11530860000,356951,3.0483415807667424,3.020582657003342,-0.3209804493726267,
4004,대형할인점,광주광역시,광산구,857690000,20120,-3.416470842695421,-1.9637707097609345,-4.142545673257644,-8.84823035392921,9879790000,227747,8.681257395147062,8.834364448269351,1.054813730870066,
4004,대형할인점,광주광역시,남구,128700000,2427,-2.0966010890845648,0.1686028275839133,-5.704008221993831,-8.478802992518709,2903430000,54907,4.432688234260858,4.420201431511464,-1.6402714932126798,
4004,대형할인점,광주광역시,동구,244710000,4752,4.351759906542305,5.477434585615063,-32.43295763699962,-23.91991570073762,3273210000,60854,7.476147268277929,7.80885397837447,-1.1837364899639766,
4004,대형할인점,광주광역시,북구,210310000,7484,-9.906257406372749,-5.8977345115602775,-28.529411764705884,-19.78021978021978,4051590000,150858,5.190801635900967,4.960956661231092,2.4581768521679805,
4004,대형할인점,광주광역시,서구,663010000,16678,-2.089427776862702,-0.6942954421468579,-2.7677725118483494,-6.03387438249824,11178010000,279485,5.931377767599063,5.967404332969569,3.655620088828158,
4004,대형할인점,대구광역시,남구,40920000,1402,-18.176033166295422,-12.342112208640252,-55.12321660181582,-41.004184100418406,1140420000,41817,3.588151733571842,3.3527034459669514,2.7800161160354406,
4004,대형할인점,대구광역시,달서구,1034010000,26612,-7.848275227803611,-5.057171029495829,-17.021528972184328,-21.320874920365256,19109120000,570616,5.411081201018153,4.663731826657507,1.750452079566017,
4004,대형할인점,대구광역시,달성군,266620000,9440,-0.8085019495116736,1.326005822372858,-8.237088690346482,-0.31347962382444905,2843680000,123255,9.375879142519553,7.658918502291996,1.5094339622641542,
4004,대형할인점,대구광역시,동구,223090000,6721,-5.997276294977619,-1.5474182340351683,-16.689026026294613,-15.149006622516552,6483950000,208675,3.44064960402224,3.220797891458009,0.904761904761898,
4004,대형할인점,대구광역시,북구,694520000,16765,-1.8205638517430554,-3.0255711196738573,-12.904062229904923,-21.532230847114405,17712410000,418482,3.9210926124677554,4.006146023006963,1.735503834252654,
4004,대형할인점,대구광역시,서구,384660000,6045,-2.843787730933603,0.7003794533190334,8.697214734950578,15.801104972375697,7036060000,100780,5.4669800996580475,5.998213931335583,1.725923369002416,
4004,대형할인점,대구광역시,수성구,480470000,15350,-4.226638053853768,-1.2604984806950663,-8.123509143917303,-7.175572519083971,14626940000,443555,3.284829226071892,3.460675677198995,-0.22624434389140902,
4004,대형할인점,대구광역시,중구,389150000,15454,-3.7256007663874673,0.14159043813204,-10.496562261268139,-4.179331306990889,10965370000,423761,3.5488998547244646,3.6468669839838963,-1.4000000000000057,
4004,대형할인점,대전광역시,대덕구,33380000,1787,-1.1711765690436593,-3.271059731915577,-3.308823529411768,-13.968253968253961,491540000,29154,6.790902062904341,6.129519105440076,-2.68179473955648,
4004,대형할인점,대전광역시,동구,362470000,8600,-6.023013558493335,-1.5502001088185018,-15.167399391274941,0.5677785663591237,4822470000,122830,7.516272781375519,7.001546853374582,-0.5357826253348748,
4004,대형할인점,대전광역시,서구,543020000,14226,-4.634322708981018,-1.3165979096935243,-9.038482865698128,-6.877249100359862,10611870000,281486,5.117100002167384,5.0538925559352865,0.8147916013788716,
4004,대형할인점,대전광역시,유성구,563450000,16666,-4.957429220197962,-3.85198300896619,-25.14897485102516,-20.754716981132077,10746190000,301281,5.243253655481618,5.531712919168484,-0.09572431397575087,
4004,대형할인점,대전광역시,중구,125390000,3816,-7.569587508420446,-4.683132641399548,-22.090143635463093,-12.857142857142861,2226130000,70083,5.632644993778441,5.44497238988057,-1.2252042007001194,
4004,대형할인점,부산광역시,강서구,393540000,12041,-1.2605620837998985,4.091547397500723,0.909243980468105,6.488549618320619,9950450000,321081,3.954997010185469,3.7501440446491694,1.364012124552218,
4004,대형할인점,부산광역시,금정구,379930000,12595,2.058264842550497,4.4184677243256205,-13.927347498286508,-11.654914973040235,10618690000,295785,3.5779366381352125,4.258160488192437,8.569118835893292,
4004,대형할인점,부산광역시,기장군,966730000,14163,-0.5323463553482671,0.5706126720296654,7.771469127040447,9.386973180076623,21454030000,319138,4.506053175091114,4.437892071768326,2.629950495049499,
4004,대형할인점,부산광역시,남구,368360000,16379,-4.889781612278978,-0.7609370350501035,-10.47775947281714,-9.675141242937855,8984230000,337031,4.100073128136747,4.8597903456952025,1.7855002995805762,
