SIDO_NM,CCG_NM,STRD_YYMM,AGE_CD,population_age,population_total
강원특별자치도,원주시,202602,3,47057.0,363669.0
강원특별자치도,원주시,202602,4,53631.0,363669.0
강원특별자치도,원주시,202602,5,62320.0,363669.0
강원특별자치도,원주시,202602,6,104382.0,363669.0
강원특별자치도,원주시,202603,1,57860.0,363900.0
강원특별자치도,원주시,202603,2,38206.0,363900.0
강원특별자치도,원주시,202603,3,47285.0,363900.0
강원특별자치도,원주시,202603,4,53411.0,363900.0
강원특별자치도,원주시,202603,5,62157.0,363900.0
강원특별자치도,원주시,202603,6,104981.0,363900.0
강원특별자치도,원주시,202604,1,57828.0,364286.0
강원특별자치도,원주시,202604,2,38212.0,364286.0
강원특별자치도,원주시,202604,3,47358.0,364286.0
강원특별자치도,원주시,202604,4,53259.0,364286.0
강원특별자치도,원주시,202604,5,62200.0,364286.0
강원특별자치도,원주시,202604,6,105429.0,364286.0
강원특별자치도,원주시,202605,1,57808.0,364570.0
강원특별자치도,원주시,202605,2,38191.0,364570.0
강원특별자치도,원주시,202605,3,47419.0,364570.0
강원특별자치도,원주시,202605,4,53187.0,364570.0
강원특별자치도,원주시,202605,5,62205.0,364570.0
강원특별자치도,원주시,202605,6,105760.0,364570.0
강원특별자치도,원주시,202606,1,57788.0,364811.0
강원특별자치도,원주시,202606,2,38133.0,364811.0
강원특별자치도,원주시,202606,3,47479.0,364811.0
강원특별자치도,원주시,202606,4,53230.0,364811.0
강원특별자치도,원주시,202606,5,62113.0,364811.0
강원특별자치도,원주시,202606,6,106068.0,364811.0
강원특별자치도,인제군,202601,1,4006.0,30814.0
강원특별자치도,인제군,202601,2,3360.0,30814.0
강원특별자치도,인제군,202601,3,3730.0,30814.0
강원특별자치도,인제군,202601,4,3646.0,30814.0
강원특별자치도,인제군,202601,5,4598.0,30814.0
강원특별자치도,인제군,202601,6,11474.0,30814.0
강원특별자치도,인제군,202602,1,3975.0,30742.0
강원특별자치도,인제군,202602,2,3327.0,30742.0
강원특별자치도,인제군,202602,3,3712.0,30742.0
