STRD_YYMM,SIDO_NM,CCG_NM,living_population,resident_population_pdf,stay_population,registered_foreigner_population
202603,경기도,가평군,619208,61963,555490,1755
202603,경기도,연천군,207200,42684,163008,1508
202603,경상남도,거창군,171693,58909,111657,1127
202603,경상남도,고성군,232657,46842,183858,1957
202603,경상남도,남해군,267529,41054,225507,968
202603,경상남도,밀양시,471680,98775,366891,6014
202603,경상남도,산청군,168495,32662,134566,1267
202603,경상남도,의령군,121482,24503,95983,996
202603,경상남도,창녕군,289803,54743,231121,3939
202603,경상남도,하동군,309530,39769,268656,1105
202603,경상남도,함안군,261508,57208,199265,5035
202603,경상남도,함양군,121210,35322,85288,600
202603,경상남도,합천군,195103,38996,155034,1073
202603,경상북도,고령군,194682,29608,162521,2553
202603,경상북도,문경시,284798,64904,218673,1221
202603,경상북도,봉화군,95940,28174,67339,427
202603,경상북도,상주시,324389,89579,232750,2060
202603,경상북도,성주군,199019,40554,155899,2566
202603,경상북도,안동시,512190,152097,358146,1947
202603,경상북도,영덕군,265525,32544,232030,951
202603,경상북도,영양군,53737,16005,37534,198
202603,경상북도,영주시,256376,96673,158116,1587
202603,경상북도,영천시,386457,94633,287612,4212
202603,경상북도,울릉군,26428,8744,17531,153
202603,경상북도,울진군,243101,46030,195932,1139
202603,경상북도,의성군,205592,47820,156860,912
202603,경상북도,청도군,329820,40124,288589,1107
202603,경상북도,청송군,101731,23283,78204,244
202603,대구광역시,군위군,170949,22587,147805,557
202603,대구광역시,남구,588109,138546,447009,2554
202603,대구광역시,서구,534491,163853,367737,2901
202603,부산광역시,동구,671840,83530,585928,2382
202603,부산광역시,서구,458500,101452,354071,2977
202603,부산광역시,영도구,381217,100733,278177,2307
202603,인천광역시,강화군,517377,69615,446340,1422
202603,인천광역시,옹진군,188825,19425,168795,605
202603,전라남도,강진군,164762,31776,132307,679
202603,전라남도,고흥군,218255,59194,156334,2727
202603,전라남도,곡성군,137495,27582,109267,646
202603,전라남도,구례군,406949,23941,382743,265
