BC업종,시도코드,시도,시군구코드,시군구,점포수
서양음식,26,부산광역시,26230,부산진구,223
서양음식,26,부산광역시,26260,동래구,99
서양음식,26,부산광역시,26290,남구,90
서양음식,26,부산광역시,26320,북구,56
서양음식,26,부산광역시,26350,해운대구,209
서양음식,26,부산광역시,26380,사하구,55
서양음식,26,부산광역시,26410,금정구,102
서양음식,26,부산광역시,26440,강서구,76
서양음식,26,부산광역시,26470,연제구,59
서양음식,26,부산광역시,26500,수영구,225
서양음식,26,부산광역시,26530,사상구,35
서양음식,26,부산광역시,26710,기장군,106
서양음식,27,대구광역시,27110,중구,251
서양음식,27,대구광역시,27140,동구,92
서양음식,27,대구광역시,27170,서구,19
서양음식,27,대구광역시,27200,남구,80
서양음식,27,대구광역시,27230,북구,132
서양음식,27,대구광역시,27260,수성구,201
서양음식,27,대구광역시,27290,달서구,158
서양음식,27,대구광역시,27710,달성군,52
서양음식,27,대구광역시,27720,군위군,3
서양음식,28,인천광역시,28125,제물포구,50
서양음식,28,인천광역시,28155,영종구,48
서양음식,28,인천광역시,28177,미추홀구,105
서양음식,28,인천광역시,28185,연수구,219
서양음식,28,인천광역시,28200,남동구,141
서양음식,28,인천광역시,28237,부평구,111
서양음식,28,인천광역시,28245,계양구,54
서양음식,28,인천광역시,28275,서해구,116
서양음식,28,인천광역시,28290,검단구,52
서양음식,28,인천광역시,28710,강화군,31
서양음식,28,인천광역시,28720,옹진군,3
서양음식,30,대전광역시,30110,동구,84
서양음식,30,대전광역시,30140,중구,103
서양음식,30,대전광역시,30170,서구,231
서양음식,30,대전광역시,30200,유성구,235
서양음식,30,대전광역시,30230,대덕구,32
서양음식,31,울산광역시,31110,중구,84
서양음식,31,울산광역시,31140,남구,176
서양음식,31,울산광역시,31170,동구,63
서양음식,31,울산광역시,31200,북구,41
서양음식,31,울산광역시,31710,울주군,56
서양음식,36,세종특별자치시,36110,세종특별자치시,149
서양음식,41,경기도,41111,수원시 장안구,84
서양음식,41,경기도,41113,수원시 권선구,77
서양음식,41,경기도,41115,수원시 팔달구,189
서양음식,41,경기도,41117,수원시 영통구,169
서양음식,41,경기도,41131,성남시 수정구,92
서양음식,41,경기도,41133,성남시 중원구,56
서양음식,41,경기도,41135,성남시 분당구,343
서양음식,41,경기도,41150,의정부시,136
서양음식,41,경기도,41171,안양시 만안구,54
서양음식,41,경기도,41173,안양시 동안구,119
서양음식,41,경기도,41192,부천시 원미구,152
서양음식,41,경기도,41194,부천시 소사구,31
서양음식,41,경기도,41196,부천시 오정구,31
서양음식,41,경기도,41210,광명시,73
서양음식,41,경기도,41220,평택시,302
서양음식,41,경기도,41250,동두천시,46
서양음식,41,경기도,41271,안산시 상록구,95
서양음식,41,경기도,41273,안산시 단원구,155
서양음식,41,경기도,41281,고양시 덕양구,153
서양음식,41,경기도,41285,고양시 일산동구,192
서양음식,41,경기도,41287,고양시 일산서구,72
서양음식,41,경기도,41290,과천시,29
서양음식,41,경기도,41310,구리시,54
서양음식,41,경기도,41360,남양주시,215
서양음식,41,경기도,41370,오산시,54
서양음식,41,경기도,41390,시흥시,142
서양음식,41,경기도,41410,군포시,59
서양음식,41,경기도,41430,의왕시,57
서양음식,41,경기도,41450,하남시,134
서양음식,41,경기도,41461,용인시 처인구,88
서양음식,41,경기도,41463,용인시 기흥구,125
서양음식,41,경기도,41465,용인시 수지구,98
서양음식,41,경기도,41480,파주시,204
서양음식,41,경기도,41500,이천시,93
서양음식,41,경기도,41550,안성시,95
서양음식,41,경기도,41570,김포시,162
서양음식,41,경기도,41591,화성시 만세구,91
서양음식,41,경기도,41593,화성시 효행구,37
서양음식,41,경기도,41595,화성시 병점구,29
서양음식,41,경기도,41597,화성시 동탄구,190
서양음식,41,경기도,41610,광주시,99
서양음식,41,경기도,41630,양주시,103
서양음식,41,경기도,41650,포천시,62
서양음식,41,경기도,41670,여주시,42
서양음식,41,경기도,41800,연천군,19
서양음식,41,경기도,41820,가평군,42
서양음식,41,경기도,41830,양평군,59
서양음식,43,충청북도,43111,청주시 상당구,90
서양음식,43,충청북도,43112,청주시 서원구,68
서양음식,43,충청북도,43113,청주시 흥덕구,119
서양음식,43,충청북도,43114,청주시 청원구,76
서양음식,43,충청북도,43130,충주시,71
서양음식,43,충청북도,43150,제천시,50
서양음식,43,충청북도,43720,보은군,10
서양음식,43,충청북도,43730,옥천군,12
서양음식,43,충청북도,43740,영동군,13
서양음식,43,충청북도,43745,증평군,8
서양음식,43,충청북도,43750,진천군,36
서양음식,43,충청북도,43760,괴산군,10
서양음식,43,충청북도,43770,음성군,36
서양음식,43,충청북도,43800,단양군,8
서양음식,44,충청남도,44131,천안시 동남구,95
서양음식,44,충청남도,44133,천안시 서북구,185
서양음식,44,충청남도,44150,공주시,45
서양음식,44,충청남도,44180,보령시,33
서양음식,44,충청남도,44200,아산시,130
서양음식,44,충청남도,44210,서산시,51
서양음식,44,충청남도,44230,논산시,25
서양음식,44,충청남도,44250,계룡시,10
서양음식,44,충청남도,44270,당진시,37
서양음식,44,충청남도,44710,금산군,13
서양음식,44,충청남도,44760,부여군,16
서양음식,44,충청남도,44770,서천군,8
서양음식,44,충청남도,44790,청양군,9
서양음식,44,충청남도,44800,홍성군,33
서양음식,44,충청남도,44810,예산군,25
서양음식,44,충청남도,44825,태안군,23
서양음식,47,경상북도,47111,포항시 남구,89
서양음식,47,경상북도,47113,포항시 북구,83
서양음식,47,경상북도,47130,경주시,118
서양음식,47,경상북도,47150,김천시,34
서양음식,47,경상북도,47170,안동시,59
서양음식,47,경상북도,47190,구미시,158
서양음식,47,경상북도,47210,영주시,34
서양음식,47,경상북도,47230,영천시,17
서양음식,47,경상북도,47250,상주시,22
서양음식,47,경상북도,47280,문경시,21
서양음식,47,경상북도,47290,경산시,89
서양음식,47,경상북도,47730,의성군,5
서양음식,47,경상북도,47750,청송군,4
서양음식,47,경상북도,47760,영양군,2
서양음식,47,경상북도,47770,영덕군,10
서양음식,47,경상북도,47820,청도군,10
서양음식,47,경상북도,47830,고령군,9
서양음식,47,경상북도,47840,성주군,13
서양음식,47,경상북도,47850,칠곡군,40
서양음식,47,경상북도,47900,예천군,10
서양음식,47,경상북도,47920,봉화군,7
서양음식,47,경상북도,47930,울진군,11
서양음식,47,경상북도,47940,울릉군,7
서양음식,48,경상남도,48121,창원시 의창구,68
서양음식,48,경상남도,48123,창원시 성산구,130
서양음식,48,경상남도,48125,창원시 마산합포구,64
서양음식,48,경상남도,48127,창원시 마산회원구,45
서양음식,48,경상남도,48129,창원시 진해구,61
서양음식,48,경상남도,48170,진주시,176
서양음식,48,경상남도,48220,통영시,48
서양음식,48,경상남도,48240,사천시,33
서양음식,48,경상남도,48250,김해시,204
서양음식,48,경상남도,48270,밀양시,34
서양음식,48,경상남도,48310,거제시,78
서양음식,48,경상남도,48330,양산시,106
서양음식,48,경상남도,48720,의령군,4
서양음식,48,경상남도,48730,함안군,14
서양음식,48,경상남도,48740,창녕군,16
서양음식,48,경상남도,48820,고성군,15
서양음식,48,경상남도,48840,남해군,30
서양음식,48,경상남도,48850,하동군,11
서양음식,48,경상남도,48860,산청군,8
서양음식,48,경상남도,48870,함양군,6
서양음식,48,경상남도,48880,거창군,22
서양음식,48,경상남도,48890,합천군,7
서양음식,50,제주특별자치도,50110,제주시,500
서양음식,50,제주특별자치도,50130,서귀포시,202
서양음식,51,강원특별자치도,51110,춘천시,129
서양음식,51,강원특별자치도,51130,원주시,181
서양음식,51,강원특별자치도,51150,강릉시,143
서양음식,51,강원특별자치도,51170,동해시,43
서양음식,51,강원특별자치도,51190,태백시,17
서양음식,51,강원특별자치도,51210,속초시,64
서양음식,51,강원특별자치도,51230,삼척시,23
서양음식,51,강원특별자치도,51720,홍천군,25
서양음식,51,강원특별자치도,51730,횡성군,13
서양음식,51,강원특별자치도,51750,영월군,17
서양음식,51,강원특별자치도,51760,평창군,21
서양음식,51,강원특별자치도,51770,정선군,19
서양음식,51,강원특별자치도,51780,철원군,21
서양음식,51,강원특별자치도,51790,화천군,4
서양음식,51,강원특별자치도,51800,양구군,7
서양음식,51,강원특별자치도,51810,인제군,20
서양음식,51,강원특별자치도,51820,고성군,20
서양음식,51,강원특별자치도,51830,양양군,33
서양음식,52,전북특별자치도,52111,전주시 완산구,199
서양음식,52,전북특별자치도,52113,전주시 덕진구,94
서양음식,52,전북특별자치도,52130,군산시,110
서양음식,52,전북특별자치도,52140,익산시,101
서양음식,52,전북특별자치도,52180,정읍시,40
서양음식,52,전북특별자치도,52190,남원시,13
서양음식,52,전북특별자치도,52210,김제시,15
서양음식,52,전북특별자치도,52710,완주군,32
서양음식,52,전북특별자치도,52720,진안군,3
서양음식,52,전북특별자치도,52730,무주군,7
서양음식,52,전북특별자치도,52740,장수군,6
서양음식,52,전북특별자치도,52750,임실군,7
서양음식,52,전북특별자치도,52770,순창군,3
서양음식,52,전북특별자치도,52790,고창군,13
서양음식,52,전북특별자치도,52800,부안군,11
슈퍼마켓,11,서울특별시,11110,종로구,306
슈퍼마켓,11,서울특별시,11140,중구,419
슈퍼마켓,11,서울특별시,11170,용산구,228
슈퍼마켓,11,서울특별시,11200,성동구,245
슈퍼마켓,11,서울특별시,11215,광진구,278
슈퍼마켓,11,서울특별시,11230,동대문구,382
슈퍼마켓,11,서울특별시,11260,중랑구,357
슈퍼마켓,11,서울특별시,11290,성북구,326
슈퍼마켓,11,서울특별시,11305,강북구,290
슈퍼마켓,11,서울특별시,11320,도봉구,282
슈퍼마켓,11,서울특별시,11350,노원구,327
슈퍼마켓,11,서울특별시,11380,은평구,300
슈퍼마켓,11,서울특별시,11410,서대문구,237
슈퍼마켓,11,서울특별시,11440,마포구,293
슈퍼마켓,11,서울특별시,11470,양천구,309
슈퍼마켓,11,서울특별시,11500,강서구,432
슈퍼마켓,11,서울특별시,11530,구로구,431
슈퍼마켓,11,서울특별시,11545,금천구,277
슈퍼마켓,11,서울특별시,11560,영등포구,479
슈퍼마켓,11,서울특별시,11590,동작구,252
슈퍼마켓,11,서울특별시,11620,관악구,361
슈퍼마켓,11,서울특별시,11650,서초구,266
슈퍼마켓,11,서울특별시,11680,강남구,379
슈퍼마켓,11,서울특별시,11710,송파구,420
슈퍼마켓,11,서울특별시,11740,강동구,353
슈퍼마켓,12,전남광주통합특별시,12110,목포시,440
슈퍼마켓,12,전남광주통합특별시,12130,여수시,528
슈퍼마켓,12,전남광주통합특별시,12150,순천시,417
슈퍼마켓,12,전남광주통합특별시,12170,나주시,233
슈퍼마켓,12,전남광주통합특별시,12190,광양시,195
슈퍼마켓,12,전남광주통합특별시,12210,동구,191
슈퍼마켓,12,전남광주통합특별시,12240,서구,303
슈퍼마켓,12,전남광주통합특별시,12270,남구,231
슈퍼마켓,12,전남광주통합특별시,12300,북구,536
슈퍼마켓,12,전남광주통합특별시,12330,광산구,510
슈퍼마켓,12,전남광주통합특별시,12710,담양군,94
슈퍼마켓,12,전남광주통합특별시,12720,곡성군,62
슈퍼마켓,12,전남광주통합특별시,12730,구례군,98
슈퍼마켓,12,전남광주통합특별시,12740,고흥군,188
슈퍼마켓,12,전남광주통합특별시,12750,보성군,127
슈퍼마켓,12,전남광주통합특별시,12760,화순군,101
슈퍼마켓,12,전남광주통합특별시,12770,장흥군,103
슈퍼마켓,12,전남광주통합특별시,12780,강진군,105
슈퍼마켓,12,전남광주통합특별시,12790,해남군,208
슈퍼마켓,12,전남광주통합특별시,12800,영암군,154
슈퍼마켓,12,전남광주통합특별시,12810,무안군,161
슈퍼마켓,12,전남광주통합특별시,12820,함평군,71
슈퍼마켓,12,전남광주통합특별시,12830,영광군,106
슈퍼마켓,12,전남광주통합특별시,12840,장성군,97
슈퍼마켓,12,전남광주통합특별시,12850,완도군,187
슈퍼마켓,12,전남광주통합특별시,12860,진도군,92
슈퍼마켓,12,전남광주통합특별시,12870,신안군,121
슈퍼마켓,26,부산광역시,26110,중구,174
슈퍼마켓,26,부산광역시,26140,서구,140
슈퍼마켓,26,부산광역시,26170,동구,157
슈퍼마켓,26,부산광역시,26200,영도구,162
슈퍼마켓,26,부산광역시,26230,부산진구,398
슈퍼마켓,26,부산광역시,26260,동래구,252
슈퍼마켓,26,부산광역시,26290,남구,223
슈퍼마켓,26,부산광역시,26320,북구,257
